Cluster 1,Cluster 2,Cluster ID,Distance
525,965,1147,2.66022911
250,444,1148,2.685457686
493,967,1149,2.757351379
1112,1133,1150,2.75920447
1110,1124,1151,2.796475012
1127,1139,1152,2.982818841
1125,1142,1153,3.007643248
1121,1137,1154,3.059047783
1128,1138,1155,3.115542656
1119,1134,1156,3.344805117
1122,1149,1157,3.363588819
326,1141,1158,3.50769167
1136,1144,1159,3.510033323
870,1152,1160,3.572379834
1116,1150,1161,3.647482967
1146,1155,1162,3.684072245
37,1032,1163,3.692799324
1022,1145,1164,3.776786132
1147,1164,1165,4.286232513
1153,1161,1166,4.451281053
1140,1160,1167,4.773119794
1154,1156,1168,4.856396705
1148,1151,1169,4.885040946
1143,1158,1170,4.996411133
1129,1159,1171,5.321387558
1162,1168,1172,5.518676258
1157,1171,1173,5.67804805
1163,1165,1174,6.38306955
1167,1170,1175,7.021360718
1169,1172,1176,7.078079372
1166,1175,1177,8.392397158
1174,1177,1178,9.647028843
1173,1176,1179,11.72528604
1105,1178,1180,12.02141518
1179,1180,1181,17.53085472
